Date : 2021-06-04 23:57:47
Directory : /home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.0
Total : 782 files,  61916 codes, 26769 comments, 12868 blanks, all 101553 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |        683 |     52,956 |     25,543 |     12,162 |     90,661 |
| XML          |         70 |      4,148 |      1,109 |        324 |      5,581 |
| Jupyter      |          5 |      3,079 |          0 |          5 |      3,084 |
| Markdown     |         14 |      1,359 |          0 |        302 |      1,661 |
| Python       |          5 |        240 |        111 |         58 |        409 |
| JSON         |          1 |         91 |          0 |          1 |         92 |
| Shell Script |          3 |         22 |          3 |         12 |         37 |
| YAML         |          1 |         21 |          3 |          4 |         28 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |        782 |     61,916 |     26,769 |     12,868 |    101,553 |
| .github                                                                                                                                                                           |          3 |         57 |          3 |         24 |         84 |
| .github/ISSUE_TEMPLATE                                                                                                                                                            |          2 |         36 |          0 |         20 |         56 |
| .github/workflows                                                                                                                                                                 |          1 |         21 |          3 |          4 |         28 |
| AnomalyDetection                                                                                                                                                                  |         22 |      1,177 |        642 |        276 |      2,095 |
| AnomalyDetection/Core                                                                                                                                                             |         15 |        813 |        468 |        214 |      1,495 |
| AnomalyDetection/Core/src                                                                                                                                                         |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main                                                                                                                                                    |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main/java                                                                                                                                               |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main/java/org                                                                                                                                           |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main/java/org/tribuo                                                                                                                                    |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main/java/org/tribuo/anomaly                                                                                                                            |         14 |        756 |        453 |        210 |      1,419 |
| AnomalyDetection/Core/src/main/java/org/tribuo/anomaly/evaluation                                                                                                                 |          6 |        274 |        201 |         77 |        552 |
| AnomalyDetection/Core/src/main/java/org/tribuo/anomaly/example                                                                                                                    |          2 |        171 |         83 |         39 |        293 |
| AnomalyDetection/LibSVM                                                                                                                                                           |          6 |        276 |        159 |         58 |        493 |
| AnomalyDetection/LibSVM/src                                                                                                                                                       |          5 |        208 |        144 |         56 |        408 |
| AnomalyDetection/LibSVM/src/main                                                                                                                                                  |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/main/java                                                                                                                                             |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/main/java/org                                                                                                                                         |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/main/java/org/tribuo                                                                                                                                  |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/main/java/org/tribuo/anomaly                                                                                                                          |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/main/java/org/tribuo/anomaly/libsvm                                                                                                                   |          4 |        173 |        128 |         40 |        341 |
| AnomalyDetection/LibSVM/src/test                                                                                                                                                  |          1 |         35 |         16 |         16 |         67 |
| AnomalyDetection/LibSVM/src/test/java                                                                                                                                             |          1 |         35 |         16 |         16 |         67 |
| AnomalyDetection/LibSVM/src/test/java/org                                                                                                                                         |          1 |         35 |         16 |         16 |         67 |
| AnomalyDetection/LibSVM/src/test/java/org/tribuo                                                                                                                                  |          1 |         35 |         16 |         16 |         67 |
| AnomalyDetection/LibSVM/src/test/java/org/tribuo/anomaly                                                                                                                          |          1 |         35 |         16 |         16 |         67 |
| AnomalyDetection/LibSVM/src/test/java/org/tribuo/anomaly/libsvm                                                                                                                   |          1 |         35 |         16 |         16 |         67 |
| Classification                                                                                                                                                                    |        169 |     11,578 |      5,398 |      2,389 |     19,365 |
| Classification/Core                                                                                                                                                               |         55 |      3,892 |      2,165 |        947 |      7,004 |
| Classification/Core/src                                                                                                                                                           |         54 |      3,837 |      2,150 |        943 |      6,930 |
| Classification/Core/src/main                                                                                                                                                      |         44 |      3,087 |      1,981 |        763 |      5,831 |
| Classification/Core/src/main/java                                                                                                                                                 |         44 |      3,087 |      1,981 |        763 |      5,831 |
| Classification/Core/src/main/java/org                                                                                                                                             |         44 |      3,087 |      1,981 |        763 |      5,831 |
| Classification/Core/src/main/java/org/tribuo                                                                                                                                      |         44 |      3,087 |      1,981 |        763 |      5,831 |
| Classification/Core/src/main/java/org/tribuo/classification                                                                                                                       |         44 |      3,087 |      1,981 |        763 |      5,831 |
| Classification/Core/src/main/java/org/tribuo/classification/baseline                                                                                                              |          3 |        230 |         99 |         49 |        378 |
| Classification/Core/src/main/java/org/tribuo/classification/ensemble                                                                                                              |          5 |        370 |        137 |         67 |        574 |
| Classification/Core/src/main/java/org/tribuo/classification/evaluation                                                                                                            |         11 |      1,050 |        976 |        254 |      2,280 |
| Classification/Core/src/main/java/org/tribuo/classification/example                                                                                                               |          2 |        181 |         68 |         38 |        287 |
| Classification/Core/src/main/java/org/tribuo/classification/sequence                                                                                                              |         13 |        789 |        389 |        212 |      1,390 |
| Classification/Core/src/main/java/org/tribuo/classification/sequence/example                                                                                                      |          2 |        115 |         52 |         35 |        202 |
| Classification/Core/src/main/java/org/tribuo/classification/sequence/viterbi                                                                                                      |          7 |        380 |        206 |        106 |        692 |
| Classification/Core/src/test                                                                                                                                                      |         10 |        750 |        169 |        180 |      1,099 |
| Classification/Core/src/test/java                                                                                                                                                 |         10 |        750 |        169 |        180 |      1,099 |
| Classification/Core/src/test/java/org                                                                                                                                             |         10 |        750 |        169 |        180 |      1,099 |
| Classification/Core/src/test/java/org/tribuo                                                                                                                                      |         10 |        750 |        169 |        180 |      1,099 |
| Classification/Core/src/test/java/org/tribuo/classification                                                                                                                       |         10 |        750 |        169 |        180 |      1,099 |
| Classification/Core/src/test/java/org/tribuo/classification/baseline                                                                                                              |          1 |         42 |         15 |         11 |         68 |
| Classification/Core/src/test/java/org/tribuo/classification/evaluation                                                                                                            |          5 |        479 |         94 |        113 |        686 |
| Classification/Core/src/test/java/org/tribuo/classification/sequence                                                                                                              |          2 |         59 |         30 |         24 |        113 |
| Classification/Core/src/test/java/org/tribuo/classification/sequence/viterbi                                                                                                      |          2 |         59 |         30 |         24 |        113 |
| Classification/DecisionTree                                                                                                                                                       |         16 |      1,034 |        451 |        211 |      1,696 |
| Classification/DecisionTree/configs                                                                                                                                               |          1 |         11 |         19 |          4 |         34 |
| Classification/DecisionTree/src                                                                                                                                                   |         14 |        945 |        417 |        204 |      1,566 |
| Classification/DecisionTree/src/main                                                                                                                                              |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java                                                                                                                                         |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java/org                                                                                                                                     |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java/org/tribuo                                                                                                                              |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java/org/tribuo/classification                                                                                                               |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java/org/tribuo/classification/dtree                                                                                                         |         12 |        763 |        384 |        171 |      1,318 |
| Classification/DecisionTree/src/main/java/org/tribuo/classification/dtree/impl                                                                                                    |          4 |        489 |        172 |         85 |        746 |
| Classification/DecisionTree/src/main/java/org/tribuo/classification/dtree/impurity                                                                                                |          4 |        126 |        107 |         50 |        283 |
| Classification/DecisionTree/src/test                                                                                                                                              |          2 |        182 |         33 |         33 |        248 |
| Classification/DecisionTree/src/test/java                                                                                                                                         |          2 |        182 |         33 |         33 |        248 |
| Classification/DecisionTree/src/test/java/org                                                                                                                                     |          2 |        182 |         33 |         33 |        248 |
| Classification/DecisionTree/src/test/java/org/tribuo                                                                                                                              |          2 |        182 |         33 |         33 |        248 |
| Classification/DecisionTree/src/test/java/org/tribuo/classification                                                                                                               |          2 |        182 |         33 |         33 |        248 |
| Classification/DecisionTree/src/test/java/org/tribuo/classification/dtree                                                                                                         |          2 |        182 |         33 |         33 |        248 |
| Classification/Experiments                                                                                                                                                        |         11 |        761 |        241 |        125 |      1,127 |
| Classification/Experiments/configs                                                                                                                                                |          3 |         52 |         57 |         20 |        129 |
| Classification/Experiments/src                                                                                                                                                    |          7 |        618 |        169 |        103 |        890 |
| Classification/Experiments/src/main                                                                                                                                               |          7 |        618 |        169 |        103 |        890 |
| Classification/Experiments/src/main/java                                                                                                                                          |          6 |        543 |        131 |         82 |        756 |
| Classification/Experiments/src/main/java/org                                                                                                                                      |          6 |        543 |        131 |         82 |        756 |
| Classification/Experiments/src/main/java/org/tribuo                                                                                                                               |          6 |        543 |        131 |         82 |        756 |
| Classification/Experiments/src/main/java/org/tribuo/classification                                                                                                                |          6 |        543 |        131 |         82 |        756 |
| Classification/Experiments/src/main/java/org/tribuo/classification/experiments                                                                                                    |          6 |        543 |        131 |         82 |        756 |
| Classification/Experiments/src/main/resources                                                                                                                                     |          1 |         75 |         38 |         21 |        134 |
| Classification/Experiments/src/main/resources/org                                                                                                                                 |          1 |         75 |         38 |         21 |        134 |
| Classification/Experiments/src/main/resources/org/tribuo                                                                                                                          |          1 |         75 |         38 |         21 |        134 |
| Classification/Experiments/src/main/resources/org/tribuo/classification                                                                                                           |          1 |         75 |         38 |         21 |        134 |
| Classification/Experiments/src/main/resources/org/tribuo/classification/experiments                                                                                               |          1 |         75 |         38 |         21 |        134 |
| Classification/Explanations                                                                                                                                                       |         14 |      1,244 |        562 |        268 |      2,074 |
| Classification/Explanations/src                                                                                                                                                   |         13 |      1,133 |        547 |        264 |      1,944 |
| Classification/Explanations/src/main                                                                                                                                              |         11 |        848 |        494 |        199 |      1,541 |
| Classification/Explanations/src/main/java                                                                                                                                         |         11 |        848 |        494 |        199 |      1,541 |
| Classification/Explanations/src/main/java/org                                                                                                                                     |         11 |        848 |        494 |        199 |      1,541 |
| Classification/Explanations/src/main/java/org/tribuo                                                                                                                              |         11 |        848 |        494 |        199 |      1,541 |
| Classification/Explanations/src/main/java/org/tribuo/classification                                                                                                               |         11 |        848 |        494 |        199 |      1,541 |
| Classification/Explanations/src/main/java/org/tribuo/classification/explanations                                                                                                  |         11 |        848 |        494 |        199 |      1,541 |
